bboxes_Y489,precision,recall,f1,contains_C432_train_data
0,0.9893129770992366,0.8840381991814461,0.9337175792507204,True
5,0.9874651810584958,0.9672578444747613,0.9772570640937285,True
11,0.983448275862069,0.9727148703956343,0.9780521262002743,True
17,0.9874125874125874,0.9631650750341064,0.9751381215469613,True
23,0.9820441988950276,0.9699863574351978,0.975978037062457,True
29,0.9820193637621023,0.9686221009549795,0.9752747252747253,True
29,0.981994459833795,0.9672578444747613,0.9745704467353953,False
